Participant_ID,Role,Pair_ID,Condition,Familiarity_num,Agr_mean,MeanAgr_z,Ext_mean,MeanExt_z,SD_mean,MeanSD_z,BA_mean,MeanBA_z
F7,Follow,L8F7,Closed Leading,2,3.5,-0.29493690609444506,5.0,1.4900280152529122,6.833333333333333,1.3232845436376102,3.6666666666666665,-2.094905430453081
F7,Follow,L8F7,Open Leading,2,3.5,-0.29493690609444506,5.0,1.4900280152529122,6.833333333333333,1.3232845436376102,3.6666666666666665,-2.094905430453081
F8,Follow,L8F8,Closed Leading,3,3.5,-0.29493690609444506,4.0,0.6772854614785966,7.0,1.5901654600014985,4.5,-1.0603842302293374
F8,Follow,L8F8,Open Leading,3,3.5,-0.29493690609444506,4.0,0.6772854614785966,7.0,1.5901654600014985,4.5,-1.0603842302293374
F8,Follow,L7F8,Closed Leading,3,3.5,-0.29493690609444506,4.0,0.6772854614785966,7.0,1.5901654600014985,4.5,-1.0603842302293374
F8,Follow,L7F8,Open Leading,3,3.5,-0.29493690609444506,4.0,0.6772854614785966,7.0,1.5901654600014985,4.5,-1.0603842302293374
F9,Follow,L9F9,Closed Leading,2,4.0,0.3485617981116173,3.0,-0.13545709229571917,6.333333333333333,0.5226417945459473,4.5,-1.0603842302293374
F9,Follow,L9F9,Open Leading,2,4.0,0.3485617981116173,3.0,-0.13545709229571917,6.333333333333333,0.5226417945459473,4.5,-1.0603842302293374
F9,Follow,L10F9,Closed Leading,3,4.0,0.3485617981116173,3.0,-0.13545709229571917,6.333333333333333,0.5226417945459473,4.5,-1.0603842302293374
F9,Follow,L10F9,Open Leading,3,4.0,0.3485617981116173,3.0,-0.13545709229571917,6.333333333333333,0.5226417945459473,4.5,-1.0603842302293374
L1,Lead,L1F1,Closed Leading,3,4.0,0.3485617981116173,1.5,-1.3545709229571927,6.5,0.7895227109098354,4.666666666666667,-0.8534799901845883
L1,Lead,L1F1,Open Leading,3,4.0,0.3485617981116173,1.5,-1.3545709229571927,6.5,0.7895227109098354,4.666666666666667,-0.8534799901845883
L1,Lead,L1F2,Closed Leading,1,4.0,0.3485617981116173,1.5,-1.3545709229571927,6.5,0.7895227109098354,4.666666666666667,-0.8534799901845883
L1,Lead,L1F2,Open Leading,1,4.0,0.3485617981116173,1.5,-1.3545709229571927,6.5,0.7895227109098354,4.666666666666667,-0.8534799901845883
L10,Lead,L10F10,Closed Leading,1,2.0,-2.225433018712632,2.0,-0.9481996460700348,5.166666666666667,-1.3455246200012654,4.666666666666667,-0.8534799901845883
